Stationsnamn;Klimatnummer;Mäthöjd (meter över marken);;;
Uppsala;97520;0.0;;;
;;;;;
Parameternamn;Beskrivning;Enhet;;;
Lufttryck reducerat havsytans nivå;vid havsytans nivå, momentanvärde, 1 gång/tim;hectopascal;;;
;;;;;
Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader);
1961-01-01 00:00;1985-05-31 23:59;13.0;59.8585;17.6252;
;;;;;
Datum;Tid (UTC);Lufttryck reducerat havsytans nivå;Kvalitet;;Tidsutsnitt:
1961-01-01;06:00:00;1013.1;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-01-01;12:00:00;1013.2;G;;Tidsperiod (fr.o.m.) = 1961-01-01 00:00:00 (UTC)
1961-01-01;18:00:00;1012.5;G;;Tidsperiod (t.o.m.) = 1985-05-31 23:59:59 (UTC)
1961-01-02;06:00:00;1011.2;G;;Samplingstid = Ej angivet
1961-01-02;12:00:00;1010.3;G;;
1961-01-02;18:00:00;1008.9;G;;Kvalitetskoderna:
1961-01-03;06:00:00;1005.3;G;;Grön (G) = Kontrollerade och godkända värden.
1961-01-03;12:00:00;1004.3;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-01-03;18:00:00;1001.1;G;;
1961-01-04;06:00:00;998.1;G;;Orsaker till saknade data:
1961-01-04;12:00:00;1000.7;G;;  stationen eller givaren har varit ur funktion.
1961-01-04;18:00:00;1000.7;G;;
1961-01-05;06:00:00;993.1;G;;#OGILTIGT!
1961-01-05;12:00:00;1001.1;G;;
1961-01-05;18:00:00;1004.0;G;;
1961-01-06;06:00:00;1003.3;G;;
1961-01-06;12:00:00;1004.3;G;;
1961-01-06;18:00:00;1006.5;G;;
1961-01-07;06:00:00;1007.2;G;;
1961-01-07;12:00:00;1006.7;G;;
1961-01-07;18:00:00;1007.9;G;;
1961-01-08;06:00:00;1007.7;G;;
1961-01-08;12:00:00;1007.0;G;;
1961-01-08;18:00:00;1007.3;G;;
1961-01-09;06:00:00;1006.7;G;;
1961-01-09;12:00:00;1007.0;G;;
1961-01-09;18:00:00;1007.3;G;;
1961-01-10;06:00:00;1003.0;G;;
1961-01-10;12:00:00;1002.7;G;;
1961-01-10;18:00:00;1003.1;G;;
1961-01-11;06:00:00;1010.6;G;;
1961-01-11;12:00:00;1015.2;G;;
1961-01-11;18:00:00;1019.1;G;;
1961-01-12;06:00:00;1023.5;G;;
1961-01-12;12:00:00;1024.0;G;;
1961-01-12;18:00:00;1021.8;G;;
1961-01-13;06:00:00;1010.4;G;;
1961-01-13;12:00:00;1010.8;G;;
1961-01-13;18:00:00;1014.7;G;;
1961-01-14;06:00:00;1020.2;G;;
1961-01-14;12:00:00;1021.7;G;;
1961-01-14;18:00:00;1024.4;G;;
1961-01-15;06:00:00;1021.8;G;;
1961-01-15;12:00:00;1022.3;G;;
1961-01-15;18:00:00;1022.5;G;;
1961-01-16;06:00:00;1030.8;G;;
1961-01-16;12:00:00;1034.5;G;;
1961-01-16;18:00:00;1036.6;G;;
1961-01-17;06:00:00;1037.2;G;;
1961-01-17;12:00:00;1037.3;G;;
1961-01-17;18:00:00;1037.0;G;;
1961-01-18;06:00:00;1037.3;G;;
1961-01-18;12:00:00;1036.4;G;;
1961-01-18;18:00:00;1035.6;G;;
1961-01-19;06:00:00;1033.2;G;;
1961-01-19;12:00:00;1032.2;G;;
1961-01-19;18:00:00;1031.3;G;;
1961-01-20;06:00:00;1028.7;G;;
1961-01-20;12:00:00;1027.1;G;;
1961-01-20;18:00:00;1025.5;G;;
1961-01-21;06:00:00;1022.8;G;;
1961-01-21;12:00:00;1022.1;G;;
1961-01-21;18:00:00;1021.2;G;;
1961-01-22;06:00:00;1019.7;G;;
1961-01-22;12:00:00;1021.8;G;;
1961-01-22;18:00:00;1024.2;G;;
1961-01-23;06:00:00;1023.6;G;;
1961-01-23;12:00:00;1022.1;G;;
1961-01-23;18:00:00;1021.0;G;;
1961-01-24;06:00:00;1022.8;G;;
1961-01-24;12:00:00;1023.2;G;;
1961-01-24;18:00:00;1023.4;G;;
1961-01-25;06:00:00;1021.3;G;;
1961-01-25;12:00:00;1019.2;G;;
1961-01-25;18:00:00;1016.1;G;;
1961-01-26;06:00:00;1018.5;G;;
1961-01-26;12:00:00;1020.8;G;;
1961-01-26;18:00:00;1021.5;G;;
1961-01-27;06:00:00;1022.6;G;;
1961-01-27;12:00:00;1019.6;G;;
1961-01-27;18:00:00;1016.1;G;;
1961-01-28;06:00:00;1006.0;G;;
1961-01-28;12:00:00;1006.2;G;;
1961-01-28;18:00:00;1007.7;G;;
1961-01-29;06:00:00;998.1;G;;
1961-01-29;12:00:00;989.6;G;;
1961-01-29;18:00:00;989.1;G;;
1961-01-30;06:00:00;976.2;G;;
1961-01-30;12:00:00;974.6;G;;
1961-01-30;18:00:00;977.1;G;;
1961-01-31;06:00:00;984.4;G;;
1961-01-31;12:00:00;985.0;G;;
1961-01-31;18:00:00;986.2;G;;
1961-02-01;06:00:00;989.4;G;;
1961-02-01;12:00:00;990.6;G;;
1961-02-01;18:00:00;994.0;G;;
1961-02-02;06:00:00;993.2;G;;
