Stationsnamn;Klimatnummer;Mäthöjd (meter över marken);;;
Uppsala;97520;2.0;;;
;;;;;
Parameternamn;Beskrivning;Enhet;;;
Lufttemperatur;momentanvärde, 1 gång/tim;degree celsius;;;
;;;;;
Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader);
1863-01-01 00:00:00;1985-05-31 23:59;13.0;59.8585;17.6252;
;;;;;
Datum;Tid (UTC);Lufttemperatur;Kvalitet;;Tidsutsnitt:
1863-01-01;07:00:00;-1.1;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1863-01-01;13:00:00;2.4;G;;Tidsperiod (fr.o.m.) = 1863-01-01 00:00:00 (UTC)
1863-01-01;20:00:00;4.0;G;;Tidsperiod (t.o.m.) = 1985-05-31 23:59:59 (UTC)
1863-01-02;07:00:00;4.8;G;;Samplingstid = Ej angivet
1863-01-02;13:00:00;4.7;G;;
1863-01-02;20:00:00;4.2;G;;Kvalitetskoderna:
1863-01-03;07:00:00;3.5;G;;Grön (G) = Kontrollerade och godkända värden.
1863-01-03;13:00:00;3.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1863-01-03;20:00:00;1.4;G;;
1863-01-04;07:00:00;0.7;G;;Orsaker till saknade data:
1863-01-04;13:00:00;2.1;G;;  stationen eller givaren har varit ur funktion.
1863-01-04;20:00:00;1.7;G;;
1863-01-05;07:00:00;2.0;G;;
1863-01-05;13:00:00;2.1;G;;
1863-01-05;20:00:00;1.2;G;;
1863-01-06;07:00:00;1.2;G;;
1863-01-06;13:00:00;1.7;G;;
1863-01-06;20:00:00;1.5;G;;
1863-01-07;07:00:00;1.0;G;;
1863-01-07;13:00:00;0.5;G;;
1863-01-07;20:00:00;0.2;G;;
1863-01-08;07:00:00;-0.1;G;;
1863-01-08;13:00:00;0.3;G;;
1863-01-08;20:00:00;0.6;G;;
1863-01-09;07:00:00;-0.3;G;;
1863-01-09;13:00:00;-0.5;G;;
1863-01-09;20:00:00;-1.5;G;;
1863-01-10;07:00:00;-1.5;G;;
1863-01-10;13:00:00;-0.5;G;;
1863-01-10;20:00:00;-0.7;G;;
1863-01-11;07:00:00;-0.3;G;;
1863-01-11;13:00:00;-0.1;G;;
1863-01-11;20:00:00;-0.8;G;;
1863-01-12;07:00:00;-1.5;G;;
1863-01-12;13:00:00;-1.3;G;;
